disagreement_bin,model_id,n,pearson_source_vs_model_distribution_entropy
diffuse,all_models,2494,0.10139179244953657
diffuse,claude-sonnet-4-6,499,0.14517916869712977
diffuse,deepseek/deepseek-v3.2,495,0.07935301697063948
diffuse,gpt-5.5,500,0.1719298794158239
diffuse,grok-4.3,500,0.09537331461963357
diffuse,qwen/qwen3.7-max,500,0.10005553450672375
high_consensus,all_models,1745,0.14862746986269915
high_consensus,claude-sonnet-4-6,348,0.226499767094566
high_consensus,deepseek/deepseek-v3.2,347,0.08260541599987797
high_consensus,gpt-5.5,350,0.23574473663279516
high_consensus,grok-4.3,350,0.11242610754953061
high_consensus,qwen/qwen3.7-max,350,0.21851223937685835
low_consensus,all_models,3737,0.046907039711885715
low_consensus,claude-sonnet-4-6,747,0.07035036664281143
low_consensus,deepseek/deepseek-v3.2,741,0.07405099660518534
low_consensus,gpt-5.5,750,0.1038750655774006
low_consensus,grok-4.3,749,0.001076367487839112
low_consensus,qwen/qwen3.7-max,750,0.029568680836307665
moderate_consensus,all_models,1994,0.09776191036442196
moderate_consensus,claude-sonnet-4-6,398,0.08175322963000216
moderate_consensus,deepseek/deepseek-v3.2,396,0.10328682761691459
moderate_consensus,gpt-5.5,400,0.17292275348903366
moderate_consensus,grok-4.3,400,0.13552981657796645
moderate_consensus,qwen/qwen3.7-max,400,0.07487581298571203
