disagreement_bin,endpoint,mean,model_id,n
diffuse,distribution_agreement_gap,0.22655573376102645,all_models,2494
high_consensus,distribution_agreement_gap,0.18284240687679082,all_models,1745
low_consensus,distribution_agreement_gap,0.23268736616702354,all_models,3736
low_diffuse,distribution_agreement_gap,0.23023274478330658,all_models,6230
moderate_consensus,distribution_agreement_gap,0.22150952858575726,all_models,1994
diffuse,distribution_agreement_gap,0.21985971943887775,claude-sonnet-4-6,499
diffuse,distribution_agreement_gap,0.2643838383838384,deepseek/deepseek-v3.2,495
diffuse,distribution_agreement_gap,0.214,gpt-5.5,500
diffuse,distribution_agreement_gap,0.21154,grok-4.3,500
diffuse,distribution_agreement_gap,0.22336,qwen/qwen3.7-max,500
high_consensus,distribution_agreement_gap,0.22370689655172413,claude-sonnet-4-6,348
high_consensus,distribution_agreement_gap,0.2268587896253602,deepseek/deepseek-v3.2,347
high_consensus,distribution_agreement_gap,0.1512,gpt-5.5,350
high_consensus,distribution_agreement_gap,0.13977142857142857,grok-4.3,350
high_consensus,distribution_agreement_gap,0.17328571428571427,qwen/qwen3.7-max,350
low_consensus,distribution_agreement_gap,0.23199464524765728,claude-sonnet-4-6,747
low_consensus,distribution_agreement_gap,0.27194331983805664,deepseek/deepseek-v3.2,741
low_consensus,distribution_agreement_gap,0.22872,gpt-5.5,750
low_consensus,distribution_agreement_gap,0.21601604278074865,grok-4.3,748
low_consensus,distribution_agreement_gap,0.21518666666666666,qwen/qwen3.7-max,750
low_diffuse,distribution_agreement_gap,0.22713483146067415,claude-sonnet-4-6,1246
low_diffuse,distribution_agreement_gap,0.268915857605178,deepseek/deepseek-v3.2,1236
low_diffuse,distribution_agreement_gap,0.222832,gpt-5.5,1250
low_diffuse,distribution_agreement_gap,0.2142227564102564,grok-4.3,1248
low_diffuse,distribution_agreement_gap,0.21845599999999998,qwen/qwen3.7-max,1250
moderate_consensus,distribution_agreement_gap,0.2565577889447236,claude-sonnet-4-6,398
moderate_consensus,distribution_agreement_gap,0.25055555555555553,deepseek/deepseek-v3.2,396
moderate_consensus,distribution_agreement_gap,0.19822499999999998,gpt-5.5,400
moderate_consensus,distribution_agreement_gap,0.20995,grok-4.3,400
moderate_consensus,distribution_agreement_gap,0.19272499999999998,qwen/qwen3.7-max,400
