disagreement_bin,endpoint,mean,model_id,n,omitted_model_id
diffuse,agreement_surplus,0.44688226182097285,all_models,2000,claude-sonnet-4-6
high_consensus,agreement_surplus,0.15340395355729702,all_models,1400,claude-sonnet-4-6
low_consensus,agreement_surplus,0.37348948970744955,all_models,2999,claude-sonnet-4-6
low_diffuse,agreement_surplus,0.4028524711491472,all_models,4999,claude-sonnet-4-6
moderate_consensus,agreement_surplus,0.28030296014571937,all_models,1600,claude-sonnet-4-6
diffuse,agreement_surplus,0.43682237062180174,all_models,2000,deepseek/deepseek-v3.2
high_consensus,agreement_surplus,0.17103840180249488,all_models,1400,deepseek/deepseek-v3.2
low_consensus,agreement_surplus,0.3742303940732479,all_models,2999,deepseek/deepseek-v3.2
low_diffuse,agreement_surplus,0.3992721930524653,all_models,4999,deepseek/deepseek-v3.2
moderate_consensus,agreement_surplus,0.2984926291151624,all_models,1600,deepseek/deepseek-v3.2
diffuse,agreement_surplus,0.44171798253927064,all_models,2000,gpt-5.5
high_consensus,agreement_surplus,0.1697242640171553,all_models,1400,gpt-5.5
low_consensus,agreement_surplus,0.3725705823573074,all_models,2999,gpt-5.5
low_diffuse,agreement_surplus,0.40023507532868696,all_models,4999,gpt-5.5
moderate_consensus,agreement_surplus,0.2961883053171915,all_models,1600,gpt-5.5
diffuse,agreement_surplus,0.4395091582040782,all_models,2000,grok-4.3
high_consensus,agreement_surplus,0.19685302092743978,all_models,1400,grok-4.3
low_consensus,agreement_surplus,0.3820358364899276,all_models,3000,grok-4.3
low_diffuse,agreement_surplus,0.40502516517558784,all_models,5000,grok-4.3
moderate_consensus,agreement_surplus,0.3135836843890597,all_models,1600,grok-4.3
diffuse,agreement_surplus,0.41316102003918065,all_models,2000,qwen/qwen3.7-max
high_consensus,agreement_surplus,0.15602420000473927,all_models,1400,qwen/qwen3.7-max
low_consensus,agreement_surplus,0.35232659408351646,all_models,2999,qwen/qwen3.7-max
low_diffuse,agreement_surplus,0.37666523219340414,all_models,4999,qwen/qwen3.7-max
moderate_consensus,agreement_surplus,0.2845841751052736,all_models,1600,qwen/qwen3.7-max
diffuse,distribution_agreement_gap,0.22823057644110276,all_models,1995,claude-sonnet-4-6
high_consensus,distribution_agreement_gap,0.17266284896206155,all_models,1397,claude-sonnet-4-6
