baseline,disagreement_bin,mean_baseline_entropy,mean_brier_majority_label,mean_jsd,mean_source_entropy,mean_total_variation_distance,n
global_base_rate,diffuse,1.947001239936549,0.14362361553789157,0.08439402223692202,1.955130618618619,0.2729016637521168,500
global_base_rate,high_consensus,1.947001239936549,0.08299514314821282,0.1659533583236267,0.8239248497560735,0.4075552064496648,350
global_base_rate,low_consensus,1.947001239936549,0.10582444865480145,0.08623939326002861,1.6940124233093143,0.2543092357115218,750
global_base_rate,moderate_consensus,1.947001239936549,0.08912431864726963,0.10133054143109772,1.3348942185784758,0.30333940768384987,400
source_majority_oracle,diffuse,0.0,0.0,0.3902579404268066,1.955130618618619,0.5913568893962263,500
source_majority_oracle,high_consensus,0.0,0.0,0.07375152755034045,0.8239248497560735,0.13914882903543296,350
source_majority_oracle,low_consensus,0.0,0.0,0.25016781733588944,1.6940124233093143,0.4181603980252834,750
source_majority_oracle,moderate_consensus,0.0,0.0,0.15364723910972147,1.3348942185784758,0.27461445683304575,400
uniform,diffuse,2.321928094887362,0.16000000000000003,0.09623636076987009,1.955130618618619,0.3089824325330172,500
uniform,high_consensus,2.321928094887362,0.16000000000000003,0.36021126959553096,0.8239248497560735,0.660851170964567,350
uniform,low_consensus,2.321928094887362,0.16000000000000003,0.15310154975960896,1.6940124233093143,0.4086427310352582,750
uniform,moderate_consensus,2.321928094887362,0.16000000000000003,0.23312615785861793,1.3348942185784758,0.5265497697139644,400
