empty_response,invalid_json,model_id,n,probability_out_of_bounds,probability_sum_error,prompt_mode,valid_extracted_json,valid_primary,valid_primary_rate,valid_strict_schema
0,0,claude-sonnet-4-6,2000,0,0,descriptive_verdict_mode,1935,2000,1.0,65
0,2,claude-sonnet-4-6,2000,0,6,distribution_mode,1990,1992,0.996,2
0,0,claude-sonnet-4-6,1000,0,0,normative_verdict_mode,996,1000,1.0,4
0,0,claude-sonnet-4-6,250,0,0,paraphrased_descriptive_verdict_mode,200,250,1.0,50
0,0,claude-sonnet-4-6,250,0,1,paraphrased_distribution_mode,246,249,0.996,3
0,0,claude-sonnet-4-6,4000,0,0,sampling_mode,1428,4000,1.0,2572
0,0,deepseek/deepseek-v3.2,2000,0,0,descriptive_verdict_mode,756,2000,1.0,1244
0,1,deepseek/deepseek-v3.2,2000,17,3,distribution_mode,764,1979,0.9895,1215
0,0,deepseek/deepseek-v3.2,1000,31,0,normative_verdict_mode,91,969,0.969,878
0,0,deepseek/deepseek-v3.2,250,0,0,paraphrased_descriptive_verdict_mode,23,250,1.0,227
0,0,deepseek/deepseek-v3.2,250,4,0,paraphrased_distribution_mode,15,246,0.984,231
0,0,deepseek/deepseek-v3.2,4000,0,0,sampling_mode,18,4000,1.0,3982
0,0,gpt-5.5,2000,0,0,descriptive_verdict_mode,0,2000,1.0,2000
0,0,gpt-5.5,2000,0,0,distribution_mode,0,2000,1.0,2000
0,0,gpt-5.5,1000,0,0,normative_verdict_mode,0,1000,1.0,1000
0,0,gpt-5.5,250,0,0,paraphrased_descriptive_verdict_mode,0,250,1.0,250
0,0,gpt-5.5,250,0,0,paraphrased_distribution_mode,0,250,1.0,250
0,0,gpt-5.5,4000,0,0,sampling_mode,0,4000,1.0,4000
1,0,grok-4.3,2000,0,0,descriptive_verdict_mode,0,1999,0.9995,1999
1,0,grok-4.3,2000,0,0,distribution_mode,1,1999,0.9995,1998
0,0,grok-4.3,1000,0,0,normative_verdict_mode,0,1000,1.0,1000
0,0,grok-4.3,250,0,0,paraphrased_descriptive_verdict_mode,0,250,1.0,250
0,0,grok-4.3,250,0,0,paraphrased_distribution_mode,0,250,1.0,250
0,0,grok-4.3,4000,0,0,sampling_mode,0,4000,1.0,4000
0,0,qwen/qwen3.7-max,2000,0,0,descriptive_verdict_mode,0,2000,1.0,2000
0,0,qwen/qwen3.7-max,2000,0,0,distribution_mode,74,2000,1.0,1926
0,0,qwen/qwen3.7-max,1000,0,0,normative_verdict_mode,2,1000,1.0,998
0,0,qwen/qwen3.7-max,250,0,0,paraphrased_descriptive_verdict_mode,12,250,1.0,238
0,0,qwen/qwen3.7-max,250,0,0,paraphrased_distribution_mode,88,250,1.0,162
0,1,qwen/qwen3.7-max,4000,0,0,sampling_mode,3,3999,0.99975,3996
