disagreement_bin,endpoint,mean,model_id,n
diffuse,agreement_surplus,0.3905637459414127,claude-sonnet-4-6,500
diffuse,agreement_surplus,0.4308033107380971,deepseek/deepseek-v3.2,500
diffuse,agreement_surplus,0.4112208630682216,gpt-5.5,500
diffuse,agreement_surplus,0.42005616040899124,grok-4.3,500
diffuse,agreement_surplus,0.5254487130685814,qwen/qwen3.7-max,500
high_consensus,agreement_surplus,0.23342802607993812,claude-sonnet-4-6,350
high_consensus,agreement_surplus,0.16289023309914671,deepseek/deepseek-v3.2,350
high_consensus,agreement_surplus,0.16814678424050508,gpt-5.5,350
high_consensus,agreement_surplus,0.05963175659936712,grok-4.3,350
high_consensus,agreement_surplus,0.2229470402901692,qwen/qwen3.7-max,350
low_consensus,agreement_surplus,0.3607020515145202,claude-sonnet-4-6,750
low_consensus,agreement_surplus,0.35773942192381447,deepseek/deepseek-v3.2,750
low_consensus,agreement_surplus,0.36437645570528854,gpt-5.5,750
low_consensus,agreement_surplus,0.3264539503321075,grok-4.3,749
low_consensus,agreement_surplus,0.44532541681608717,qwen/qwen3.7-max,750
low_diffuse,agreement_surplus,0.3726467292852772,claude-sonnet-4-6,1250
low_diffuse,agreement_surplus,0.3869649774495275,deepseek/deepseek-v3.2,1250
low_diffuse,agreement_surplus,0.38311421865046175,gpt-5.5,1250
low_diffuse,agreement_surplus,0.3639248110514365,grok-4.3,1249
low_diffuse,agreement_surplus,0.47737473531708485,qwen/qwen3.7-max,1250
moderate_consensus,agreement_surplus,0.35193991348952897,claude-sonnet-4-6,400
moderate_consensus,agreement_surplus,0.2791812376117571,deepseek/deepseek-v3.2,400
moderate_consensus,agreement_surplus,0.28839853280364064,gpt-5.5,400
moderate_consensus,agreement_surplus,0.21881701651616775,grok-4.3,400
moderate_consensus,agreement_surplus,0.3348150536513121,qwen/qwen3.7-max,400
diffuse,distribution_agreement_gap,0.21985971943887775,claude-sonnet-4-6,499
diffuse,distribution_agreement_gap,0.2643838383838384,deepseek/deepseek-v3.2,495
diffuse,distribution_agreement_gap,0.214,gpt-5.5,500
diffuse,distribution_agreement_gap,0.21154,grok-4.3,500
diffuse,distribution_agreement_gap,0.22336,qwen/qwen3.7-max,500
high_consensus,distribution_agreement_gap,0.22370689655172413,claude-sonnet-4-6,348
high_consensus,distribution_agreement_gap,0.2268587896253602,deepseek/deepseek-v3.2,347
high_consensus,distribution_agreement_gap,0.1512,gpt-5.5,350
high_consensus,distribution_agreement_gap,0.13977142857142857,grok-4.3,350
high_consensus,distribution_agreement_gap,0.17328571428571427,qwen/qwen3.7-max,350
low_consensus,distribution_agreement_gap,0.23199464524765728,claude-sonnet-4-6,747
low_consensus,distribution_agreement_gap,0.27194331983805664,deepseek/deepseek-v3.2,741
low_consensus,distribution_agreement_gap,0.22872,gpt-5.5,750
low_consensus,distribution_agreement_gap,0.21601604278074865,grok-4.3,748
low_consensus,distribution_agreement_gap,0.21518666666666666,qwen/qwen3.7-max,750
low_diffuse,distribution_agreement_gap,0.22713483146067415,claude-sonnet-4-6,1246
low_diffuse,distribution_agreement_gap,0.268915857605178,deepseek/deepseek-v3.2,1236
low_diffuse,distribution_agreement_gap,0.222832,gpt-5.5,1250
low_diffuse,distribution_agreement_gap,0.2142227564102564,grok-4.3,1248
low_diffuse,distribution_agreement_gap,0.21845599999999998,qwen/qwen3.7-max,1250
moderate_consensus,distribution_agreement_gap,0.2565577889447236,claude-sonnet-4-6,398
moderate_consensus,distribution_agreement_gap,0.25055555555555553,deepseek/deepseek-v3.2,396
moderate_consensus,distribution_agreement_gap,0.19822499999999998,gpt-5.5,400
moderate_consensus,distribution_agreement_gap,0.20995,grok-4.3,400
moderate_consensus,distribution_agreement_gap,0.19272499999999998,qwen/qwen3.7-max,400
diffuse,sampling_compression,1.6251105490724944,claude-sonnet-4-6,100
diffuse,sampling_compression,1.2756507545817537,deepseek/deepseek-v3.2,100
diffuse,sampling_compression,1.690171391377205,gpt-5.5,100
diffuse,sampling_compression,1.3725326495394825,grok-4.3,100
diffuse,sampling_compression,1.5734312127456462,qwen/qwen3.7-max,100
high_consensus,sampling_compression,0.6638748689448719,claude-sonnet-4-6,70
high_consensus,sampling_compression,0.20427006179520318,deepseek/deepseek-v3.2,70
high_consensus,sampling_compression,0.7185345167515265,gpt-5.5,70
high_consensus,sampling_compression,0.5760073696795891,grok-4.3,70
high_consensus,sampling_compression,0.6558538092377032,qwen/qwen3.7-max,70
low_consensus,sampling_compression,1.4021806180496303,claude-sonnet-4-6,150
low_consensus,sampling_compression,0.9200005602792164,deepseek/deepseek-v3.2,150
low_consensus,sampling_compression,1.4084156447609264,gpt-5.5,150
low_consensus,sampling_compression,1.2254721149106729,grok-4.3,150
low_consensus,sampling_compression,1.367119530901856,qwen/qwen3.7-max,150
low_diffuse,sampling_compression,1.4913525904587759,claude-sonnet-4-6,250
low_diffuse,sampling_compression,1.0622606380002313,deepseek/deepseek-v3.2,250
low_diffuse,sampling_compression,1.5211179434074378,gpt-5.5,250
low_diffuse,sampling_compression,1.2842963287621967,grok-4.3,250
low_diffuse,sampling_compression,1.449644203639372,qwen/qwen3.7-max,250
moderate_consensus,sampling_compression,1.0218902205801172,claude-sonnet-4-6,80
moderate_consensus,sampling_compression,0.6693286064762246,deepseek/deepseek-v3.2,80
moderate_consensus,sampling_compression,1.1106849466847262,gpt-5.5,80
moderate_consensus,sampling_compression,1.060885462283329,grok-4.3,80
moderate_consensus,sampling_compression,1.1268888413703433,qwen/qwen3.7-max,80
